emp_id,year,rating,goals_met
1,2021,4.5,85
1,2022,4.7,90
1,2023,4.8,92
2,2020,3.8,75
2,2021,4.0,80
2,2022,4.2,82
2,2023,4.3,85
3,2019,4.9,95
3,2020,4.8,93
3,2021,4.9,96
3,2022,5.0,98
3,2023,4.9,95
4,2021,4.2,80
4,2022,4.3,83
4,2023,4.5,87
5,2021,3.5,70
5,2022,3.8,75
5,2023,4.0,78
6,2022,4.1,82
6,2023,4.3,85
7,2020,4.7,88
7,2021,4.8,90
7,2022,4.9,92
7,2023,4.8,91
8,2018,4.8,91
8,2019,4.9,93
8,2020,4.9,94
8,2021,5.0,97
8,2022,4.9,95
8,2023,5.0,98
9,2022,3.9,77
9,2023,4.1,80
10,2021,4.3,84
10,2022,4.5,87
10,2023,4.6,89
11,2020,4.0,79
11,2021,4.2,82
11,2022,4.3,84
11,2023,4.4,86
12,2019,4.0,78
12,2020,4.1,80
12,2021,4.2,81
12,2022,4.3,83
12,2023,4.4,85
13,2022,3.7,73
13,2023,3.9,76
14,2017,4.9,94
14,2018,4.9,95
14,2019,5.0,97
14,2020,4.9,96
14,2021,5.0,98
14,2022,4.9,95
14,2023,5.0,99
15,2021,4.4,86
15,2022,4.5,88
15,2023,4.6,89
16,2022,3.6,72
16,2023,3.8,75
17,2020,4.1,81
17,2021,4.2,83
17,2022,4.3,85
17,2023,4.4,86
18,2019,4.8,92
18,2020,4.8,93
18,2021,4.9,94
18,2022,4.8,91
18,2023,4.9,95
19,2022,3.8,76
19,2023,4.0,79
20,2021,4.2,83
20,2022,4.3,85
20,2023,4.4,87
21,2018,4.6,89
21,2019,4.7,90
21,2020,4.7,91
21,2021,4.8,92
21,2022,4.8,93
21,2023,4.9,94
22,2022,4.0,80
22,2023,4.2,82
23,2019,3.9,77
23,2020,4.0,79
23,2021,4.1,81
23,2022,4.2,83
23,2023,4.3,84
24,2021,4.3,84
24,2022,4.4,86
24,2023,4.5,88
25,2020,4.6,88
25,2021,4.7,90
25,2022,4.7,91
25,2023,4.8,92
26,2022,4.1,81
26,2023,4.2,83
27,2023,3.4,68
28,2016,4.7,90
28,2017,4.8,92
28,2018,4.8,93
28,2019,4.9,94
28,2020,4.9,95
28,2021,4.9,96
28,2022,5.0,98
28,2023,4.9,97
29,2022,4.2,82
29,2023,4.3,84
30,2021,4.0,79
30,2022,4.1,81
30,2023,4.2,83
31,2019,4.5,87
31,2020,4.6,88
31,2021,4.6,89
31,2022,4.7,90
31,2023,4.7,91
32,2023,3.3,66
33,2021,3.9,78
33,2022,4.0,80
33,2023,4.1,81
34,2018,4.8,92
34,2019,4.9,94
34,2020,4.8,93
34,2021,4.9,95
34,2022,4.9,96
34,2023,5.0,98
35,2022,4.1,81
35,2023,4.3,84
36,2020,4.2,83
36,2021,4.3,85
36,2022,4.4,86
36,2023,4.5,88
37,2019,4.0,79
37,2020,4.1,81
37,2021,4.2,82
37,2022,4.3,84
37,2023,4.4,85
38,2021,4.4,86
38,2022,4.5,88
38,2023,4.6,89
39,2020,4.1,81
39,2021,4.2,82
39,2022,4.2,83
39,2023,4.3,85
40,2021,3.9,78
40,2022,4.0,80
40,2023,4.1,81
41,2022,4.0,79
41,2023,4.2,82
42,2018,4.7,90
42,2019,4.8,92
42,2020,4.8,93
42,2021,4.9,94
42,2022,4.8,92
42,2023,4.9,95
43,2022,3.8,76
43,2023,4.0,79
44,2020,4.3,84
44,2021,4.4,86
44,2022,4.5,87
44,2023,4.6,89
45,2022,3.9,77
45,2023,4.1,80
46,2019,4.2,82
46,2020,4.3,84
46,2021,4.3,85
46,2022,4.4,86
46,2023,4.5,87
47,2021,4.5,87
47,2022,4.6,89
47,2023,4.7,90
48,2022,3.7,74
48,2023,3.9,77
49,2020,4.6,88
49,2021,4.7,90
49,2022,4.7,91
49,2023,4.8,92
50,2021,4.1,81
50,2022,4.2,83
50,2023,4.3,85
