customer_id,order_date,order_value
C001,2024-01-05,125.50
C002,2024-01-06,89.99
C003,2024-01-08,210.00
C004,2024-01-10,45.75
C005,2024-01-12,165.00
C001,2024-02-15,98.50
C006,2024-01-15,134.99
C007,2024-01-18,76.25
C008,2024-01-20,199.00
C002,2024-02-20,110.50
C009,2024-01-22,88.75
C010,2024-01-25,156.00
C003,2024-02-28,185.50
C011,2024-01-28,92.00
C012,2024-01-30,143.75
C001,2024-03-10,115.00
C013,2024-02-02,67.50
C014,2024-02-05,178.99
C015,2024-02-08,95.25
C006,2024-03-12,145.00
C016,2024-02-10,123.50
C017,2024-02-12,201.00
C018,2024-02-15,84.75
C002,2024-03-18,132.00
C019,2024-02-18,167.50
C020,2024-02-20,91.25
C003,2024-03-25,195.75
C021,2024-02-22,139.00
C022,2024-02-25,76.50
C023,2024-02-28,188.25
C014,2024-03-28,165.50
C024,2024-03-02,103.75
C025,2024-03-05,149.00
C026,2024-03-08,82.50
C001,2024-04-05,128.75
C027,2024-03-10,171.25
C028,2024-03-12,94.00
C029,2024-03-15,156.50
C006,2024-04-18,138.25
C030,2024-03-18,119.75
C031,2024-03-20,204.00
C032,2024-03-22,87.25
C002,2024-04-25,145.50
C033,2024-03-25,162.00
C034,2024-03-28,99.75
C035,2024-03-30,177.50
C014,2024-04-28,158.25
C036,2024-04-02,112.00
C037,2024-04-05,148.75
C038,2024-04-08,85.50
C003,2024-05-10,189.00
C039,2024-04-10,126.25
C040,2024-04-12,193.50
C041,2024-04-15,91.75
C001,2024-05-15,135.00
C042,2024-04-18,164.00
C043,2024-04-20,107.25
C044,2024-04-22,181.50
C006,2024-05-22,142.75
C045,2024-04-25,96.00
C046,2024-04-28,169.25
C047,2024-04-30,114.50
C002,2024-05-28,152.00
C048,2024-05-02,87.75
C049,2024-05-05,175.00
C050,2024-05-08,102.50
C014,2024-06-08,171.25
C051,2024-05-10,138.75
C052,2024-05-12,95.25
C053,2024-05-15,186.00
C003,2024-06-15,198.50
C054,2024-05-18,121.50
C055,2024-05-20,167.75
C056,2024-05-22,89.00
C001,2024-06-22,142.25
C057,2024-05-25,154.50
C058,2024-05-28,108.75
C059,2024-05-30,192.00
C060,2024-06-02,97.50
C061,2024-06-05,163.25
C062,2024-06-08,116.00
C006,2024-07-08,149.50
C063,2024-06-10,184.75
C064,2024-06-12,91.25
C065,2024-06-15,158.00
C002,2024-07-15,139.75
C066,2024-06-18,104.50
C067,2024-06-20,176.25
C068,2024-06-22,122.00
C069,2024-06-25,145.75
C070,2024-06-28,88.50
C071,2024-06-30,171.00
C004,2024-02-28,67.50
C005,2024-03-15,178.25
C007,2024-02-25,89.00
C008,2024-03-22,215.50
C009,2024-02-18,95.75
C010,2024-03-28,168.00
C004,2024-04-10,72.25
C011,2024-03-20,105.50
C012,2024-04-05,156.75
C013,2024-03-12,82.00
C005,2024-05-08,189.50
C015,2024-03-18,110.25
C016,2024-04-15,135.00
C017,2024-05-20,225.75
C018,2024-03-25,98.50
C019,2024-04-22,182.25
C020,2024-03-30,106.75
C008,2024-05-25,198.00
C021,2024-04-28,152.50
C022,2024-04-12,88.25
C023,2024-05-15,204.00
C024,2024-04-18,119.75
C025,2024-05-22,162.50
C026,2024-04-25,95.00
C027,2024-05-28,186.25
C028,2024-05-10,108.50
C029,2024-06-12,172.75
C030,2024-05-18,132.00
C031,2024-06-20,218.50
C032,2024-05-25,101.25
C033,2024-06-28,176.00
C034,2024-06-15,115.50
C035,2024-07-05,192.75
C017,2024-07-10,238.00
C019,2024-07-12,195.50
C023,2024-07-18,212.25
C025,2024-07-20,175.00
C027,2024-07-25,198.50
C029,2024-07-28,185.75
C031,2024-07-30,228.00
C010,2024-05-15,175.50
C012,2024-06-18,168.25
C016,2024-06-22,148.50
C021,2024-07-08,165.75
C024,2024-07-15,132.00
C026,2024-07-22,108.50
C028,2024-07-28,118.75
C030,2024-08-05,145.00
C004,2024-06-05,78.50
C007,2024-05-12,96.75
C009,2024-04-20,88.00
C011,2024-05-28,112.25
C013,2024-06-10,91.50
C015,2024-06-25,122.75
C018,2024-05-30,105.00
C020,2024-06-28,118.50
C022,2024-07-12,95.25
C005,2024-07-20,205.00
C008,2024-08-02,225.50
C010,2024-08-08,189.75
C012,2024-08-15,182.00
C017,2024-08-18,248.50
C019,2024-08-22,208.75
C023,2024-08-25,225.00
C025,2024-08-28,188.50
C027,2024-08-30,212.75
C036,2024-05-05,125.50
C037,2024-05-15,162.75
C038,2024-05-20,98.25
C039,2024-06-08,138.50
C040,2024-06-15,208.75
C041,2024-06-20,105.00
C042,2024-07-02,178.25
C043,2024-07-10,122.50
C044,2024-07-18,195.75
C045,2024-06-25,112.00
C046,2024-07-25,182.50
C047,2024-07-28,128.75
C048,2024-06-12,95.50
C049,2024-07-05,188.25
C050,2024-07-15,118.75
C051,2024-08-05,152.00
C052,2024-07-22,108.50
C053,2024-08-10,198.75
C054,2024-08-12,135.25
C055,2024-08-15,182.50
C056,2024-07-30,98.75
C057,2024-08-18,168.00
C058,2024-08-20,122.25
C059,2024-08-22,205.50
C040,2024-08-25,218.00
C042,2024-08-28,192.75
C044,2024-08-30,208.50
C046,2024-09-02,195.00
C049,2024-09-05,202.25
C051,2024-09-08,165.50
C053,2024-09-10,212.75
C055,2024-09-12,195.00
C057,2024-09-15,182.50
C059,2024-09-18,218.75
